Date,State,Confirmed
2020-01-30,Kerala,1
2020-01-31,Kerala,1
2020-02-01,Kerala,2
2020-02-02,Kerala,3
2020-02-03,Kerala,3
2020-02-04,Kerala,3
2020-02-05,Kerala,3
2020-02-06,Kerala,3
2020-02-07,Kerala,3
2020-02-08,Kerala,3
2020-02-09,Kerala,3
2020-02-10,Kerala,3
2020-02-11,Kerala,3
2020-02-12,Kerala,3
2020-02-13,Kerala,3
2020-02-14,Kerala,3
2020-02-15,Kerala,3
2020-02-16,Kerala,3
2020-02-17,Kerala,3
2020-02-18,Kerala,3
2020-02-19,Kerala,3
2020-02-20,Kerala,3
2020-02-21,Kerala,3
2020-02-22,Kerala,3
2020-02-23,Kerala,3
2020-02-24,Kerala,3
2020-02-25,Kerala,3
2020-02-26,Kerala,3
2020-02-27,Kerala,3
2020-02-28,Kerala,3
2020-02-29,Kerala,3
2020-03-01,Kerala,3
2020-03-02,Delhi,1
2020-03-02,Kerala,3
2020-03-02,Telengana,1
2020-03-03,Delhi,1
2020-03-03,Kerala,3
2020-03-03,Rajasthan,1
2020-03-03,Telengana,1
2020-03-04,Delhi,1
2020-03-04,Haryana,2
2020-03-04,Kerala,3
2020-03-04,Rajasthan,15
2020-03-04,Telengana,1
2020-03-04,Uttar Pradesh,6
2020-03-05,Delhi,2
2020-03-05,Haryana,2
2020-03-05,Kerala,3
2020-03-05,Rajasthan,15
2020-03-05,Telengana,1
2020-03-05,Uttar Pradesh,7
2020-03-06,Delhi,3
2020-03-06,Haryana,2
2020-03-06,Kerala,3
2020-03-06,Rajasthan,15
2020-03-06,Telengana,1
2020-03-06,Uttar Pradesh,7
2020-03-07,Delhi,3
2020-03-07,Haryana,2
2020-03-07,Kerala,3
2020-03-07,Ladakh,2
2020-03-07,Rajasthan,15
2020-03-07,Tamil Nadu,1
2020-03-07,Telengana,1
2020-03-07,Uttar Pradesh,7
2020-03-08,Delhi,3
2020-03-08,Haryana,2
2020-03-08,Kerala,8
2020-03-08,Ladakh,2
2020-03-08,Rajasthan,15
2020-03-08,Tamil Nadu,1
2020-03-08,Telengana,1
2020-03-08,Uttar Pradesh,7
2020-03-09,Delhi,4
2020-03-09,Haryana,2
2020-03-09,Jammu and Kashmir,1
2020-03-09,Karnataka,1
2020-03-09,Kerala,9
2020-03-09,Ladakh,2
2020-03-09,Maharashtra,2
2020-03-09,Punjab,1
2020-03-09,Rajasthan,15
2020-03-09,Tamil Nadu,1
2020-03-09,Telengana,1
2020-03-09,Uttar Pradesh,7
2020-03-10,Delhi,4
2020-03-10,Haryana,2
2020-03-10,Jammu and Kashmir,1
2020-03-10,Karnataka,4
2020-03-10,Kerala,15
2020-03-10,Ladakh,2
2020-03-10,Maharashtra,5
2020-03-10,Punjab,1
2020-03-10,Rajasthan,15
2020-03-10,Tamil Nadu,1
2020-03-10,Telengana,1
2020-03-10,Uttar Pradesh,7
2020-03-11,Delhi,5
2020-03-11,Haryana,14
2020-03-11,Jammu and Kashmir,1
2020-03-11,Karnataka,4
2020-03-11,Kerala,17
2020-03-11,Ladakh,2
2020-03-11,Maharashtra,2
2020-03-11,Punjab,1
2020-03-11,Rajasthan,3
2020-03-11,Tamil Nadu,1
2020-03-11,Telengana,1
2020-03-11,Uttar Pradesh,9
2020-03-12,Andhra Pradesh,1
2020-03-12,Delhi,6
2020-03-12,Haryana,14
2020-03-12,Jammu and Kashmir,1
2020-03-12,Karnataka,4
2020-03-12,Kerala,17
2020-03-12,Ladakh,3
2020-03-12,Maharashtra,11
2020-03-12,Punjab,1
2020-03-12,Rajasthan,3
2020-03-12,Tamil Nadu,1
2020-03-12,Telengana,1
2020-03-12,Uttar Pradesh,11
2020-03-13,Andhra Pradesh,1
2020-03-13,Delhi,6
2020-03-13,Haryana,14
2020-03-13,Jammu and Kashmir,1
2020-03-13,Karnataka,6
2020-03-13,Kerala,19
2020-03-13,Ladakh,3
2020-03-13,Maharashtra,14
2020-03-13,Punjab,1
2020-03-13,Rajasthan,3
2020-03-13,Tamil Nadu,1
2020-03-13,Telengana,1
2020-03-13,Uttar Pradesh,11
2020-03-14,Andhra Pradesh,1
2020-03-14,Delhi,7
2020-03-14,Haryana,14
2020-03-14,Jammu and Kashmir,2
2020-03-14,Karnataka,6
2020-03-14,Kerala,19
2020-03-14,Ladakh,3
2020-03-14,Maharashtra,14
2020-03-14,Punjab,1
2020-03-14,Rajasthan,3
2020-03-14,Tamil Nadu,1
2020-03-14,Telengana,1
2020-03-14,Uttar Pradesh,12
2020-03-15,Andhra Pradesh,1
2020-03-15,Delhi,7
2020-03-15,Haryana,14
2020-03-15,Jammu and Kashmir,2
2020-03-15,Karnataka,6
2020-03-15,Kerala,22
2020-03-15,Ladakh,3
2020-03-15,Maharashtra,32
2020-03-15,Punjab,1
2020-03-15,Rajasthan,4
2020-03-15,Tamil Nadu,1
2020-03-15,Telengana,3
2020-03-15,Uttar Pradesh,13
2020-03-15,Uttarakhand,1
2020-03-16,Andhra Pradesh,1
2020-03-16,Delhi,7
2020-03-16,Haryana,14
2020-03-16,Jammu and Kashmir,3
2020-03-16,Karnataka,6
2020-03-16,Kerala,23
2020-03-16,Ladakh,4
2020-03-16,Maharashtra,32
2020-03-16,Odisha,1
2020-03-16,Punjab,1
2020-03-16,Rajasthan,4
2020-03-16,Tamil Nadu,1
2020-03-16,Telengana,3
2020-03-16,Uttar Pradesh,13
2020-03-16,Uttarakhand,1
2020-03-17,Andhra Pradesh,1
2020-03-17,Delhi,8
2020-03-17,Haryana,15
2020-03-17,Jammu and Kashmir,3
2020-03-17,Karnataka,11
2020-03-17,Kerala,26
2020-03-17,Ladakh,6
2020-03-17,Maharashtra,39
2020-03-17,Odisha,1
2020-03-17,Punjab,1
2020-03-17,Rajasthan,4
2020-03-17,Tamil Nadu,1
2020-03-17,Telengana,5
2020-03-17,Uttar Pradesh,15
2020-03-17,Uttarakhand,1
2020-03-18,Andhra Pradesh,1
2020-03-18,Delhi,10
2020-03-18,Haryana,17
2020-03-18,Jammu and Kashmir,3
2020-03-18,Karnataka,11
2020-03-18,Kerala,27
2020-03-18,Ladakh,8
2020-03-18,Maharashtra,42
2020-03-18,Odisha,1
2020-03-18,Puducherry,1
2020-03-18,Punjab,1
2020-03-18,Rajasthan,4
2020-03-18,Tamil Nadu,1
2020-03-18,Telengana,6
2020-03-18,Uttar Pradesh,16
2020-03-18,Uttarakhand,1
2020-03-18,West Bengal,1
2020-03-19,Andhra Pradesh,2
2020-03-19,Chandigarh,1
2020-03-19,Chhattisgarh,1
2020-03-19,Delhi,12
2020-03-19,Haryana,17
2020-03-19,Jammu and Kashmir,4
2020-03-19,Karnataka,14
2020-03-19,Kerala,27
2020-03-19,Ladakh,8
2020-03-19,Maharashtra,47
2020-03-19,Odisha,1
2020-03-19,Puducherry,1
2020-03-19,Punjab,2
2020-03-19,Rajasthan,7
2020-03-19,Tamil Nadu,2
2020-03-19,Telengana,6
2020-03-19,Uttar Pradesh,19
2020-03-19,Uttarakhand,1
2020-03-19,West Bengal,1
2020-03-20,Andhra Pradesh,3
2020-03-20,Chandigarh,1
2020-03-20,Chhattisgarh,1
2020-03-20,Delhi,17
2020-03-20,Gujarat,5
2020-03-20,Haryana,17
2020-03-20,Jammu and Kashmir,4
2020-03-20,Karnataka,15
2020-03-20,Kerala,28
2020-03-20,Ladakh,10
2020-03-20,Maharashtra,52
2020-03-20,Odisha,2
2020-03-20,Puducherry,1
2020-03-20,Punjab,2
2020-03-20,Rajasthan,17
2020-03-20,Tamil Nadu,3
2020-03-20,Telengana,17
2020-03-20,Uttar Pradesh,23
2020-03-20,Uttarakhand,3
2020-03-20,West Bengal,2
2020-03-21,Andhra Pradesh,3
2020-03-21,Chandigarh,1
2020-03-21,Chhattisgarh,1
2020-03-21,Delhi,26
2020-03-21,Gujarat,7
2020-03-21,Haryana,17
2020-03-21,Himachal Pradesh,2
2020-03-21,Jammu and Kashmir,4
2020-03-21,Karnataka,15
2020-03-21,Kerala,40
2020-03-21,Ladakh,13
2020-03-21,Madhya Pradesh,4
2020-03-21,Maharashtra,63
2020-03-21,Odisha,2
2020-03-21,Puducherry,1
2020-03-21,Punjab,13
2020-03-21,Rajasthan,17
2020-03-21,Tamil Nadu,3
2020-03-21,Telengana,21
2020-03-21,Uttar Pradesh,24
2020-03-21,Uttarakhand,3
2020-03-21,West Bengal,3
2020-03-22,Andhra Pradesh,5
2020-03-22,Bihar,2
2020-03-22,Chandigarh,5
2020-03-22,Chhattisgarh,1
2020-03-22,Delhi,29
2020-03-22,Gujarat,18
2020-03-22,Haryana,21
2020-03-22,Himachal Pradesh,2
2020-03-22,Jammu and Kashmir,4
2020-03-22,Karnataka,26
2020-03-22,Kerala,52
2020-03-22,Ladakh,13
2020-03-22,Madhya Pradesh,4
2020-03-22,Maharashtra,67
2020-03-22,Odisha,2
2020-03-22,Puducherry,1
2020-03-22,Punjab,21
2020-03-22,Rajasthan,24
2020-03-22,Tamil Nadu,7
2020-03-22,Telengana,22
2020-03-22,Uttar Pradesh,27
2020-03-22,Uttarakhand,3
2020-03-22,West Bengal,4
