Month,State,Confirmed,Deaths
1,Andaman and Nicobar Islands,154187,1922
1,Andhra Pradesh,27448884,221186
1,Arunachal Pradesh,520415,1736
1,Assam,6718515,33089
1,Bihar,7952001,44922
1,Chandigarh,632798,10173
1,Chhattisgarh,9047658,109600
1,Dadra and Nagar Haveli and Daman and Diu,104994,62
1,Delhi,19566622,332233
1,Goa,1619005,23325
1,Gujarat,7880572,134971
1,Haryana,8233403,92110
1,Himachal Pradesh,1756015,29793
1,Jammu and Kashmir,3813238,59336
1,Jharkhand,3633956,32574
1,Karnataka,28833752,376925
1,Kerala,26008756,105654
1,Ladakh,298640,3969
1,Lakshadweep,702,0
1,Madhya Pradesh,7747005,115640
1,Maharashtra,61433195,1559536
1,Manipur,890695,11322
1,Meghalaya,422833,4445
1,Mizoram,133505,269
1,Nagaland,372584,2635
1,Odisha,10312437,58761
1,Puducherry,1196248,19844
1,Punjab,5263530,169959
1,Rajasthan,9733025,84943
1,Sikkim,186334,4040
1,Tamil Nadu,25697977,379745
1,Telengana,9024439,48803
1,Tripura,1032922,12063
1,Uttar Pradesh,18433015,264524
1,Uttarakhand,2918219,49344
1,West Bengal,17447673,309714
2,Andaman and Nicobar Islands,140209,1736
2,Andhra Pradesh,24886770,200548
2,Arunachal Pradesh,471312,1568
2,Assam,6084562,30450
2,Bihar,7317092,42664
2,Chandigarh,595366,9637
2,Chhattisgarh,8653333,105517
2,Dadra and Nagar Haveli and Daman and Diu,95209,56
2,Delhi,17833650,304835
2,Goa,1517445,21827
2,Gujarat,7425825,123185
2,Haryana,7533997,84987
2,Himachal Pradesh,1626357,27703
2,Jammu and Kashmir,3509838,54554
2,Jharkhand,3340227,30279
2,Karnataka,26460582,343417
2,Kerala,27930718,111157
2,Ladakh,273521,3640
2,Lakshadweep,6125,3
2,Madhya Pradesh,7215130,107390
2,Maharashtra,57992941,1442941
2,Manipur,816952,10434
2,Meghalaya,389242,4134
2,Mizoram,123070,265
2,Nagaland,340686,2498
2,Odisha,9410919,53504
2,Puducherry,1103823,18426
2,Punjab,4937795,159678
2,Rajasthan,8927168,77796
2,Sikkim,171269,3779
